name,lat,lon
"서울특별시 종로구 통일로12길 14 (행촌동, 영천교회)",37.5732397,126.9603717
"서울특별시 종로구 종로 359, 동묘앞역 지하1층 (숭인동)",37.57359668,127.0171392
"서울특별시 종로구 세검정로9길 1 (신영동, 서울세검정초등학교)",37.60323935,126.9609642
"서울특별시 종로구 홍지문2길 20 (홍지동, 상명대학교)",37.60282334,126.9550431
"서울특별시 종로구 홍지문2길 20 (홍지동, 상명대학교)",37.60282334,126.9550431
"서울특별시 종로구 성균관로 91 (혜화동, 국민생활관)",37.59035705,126.998842
"서울특별시 종로구 숭인동길 21, 지하1층 (숭인동, 종로청계힐스테이트)",37.57603047,127.0211513
"서울특별시 종로구 돈화문로 지하 30 (묘동, 3호선 종로3가역)",37.5714744,126.9918947
"서울특별시 종로구 북촌로15길 2, 극동문제연구소/통일관 지하2층 (삼청동)",37.58630372,126.9834464
"서울특별시 종로구 율곡로 75, 현대빌딩 (계동)",37.57841193,126.9873986
"서울특별시 종로구 창경궁로 254 (명륜2가, 동원빌딩)",37.58369872,127.0000204
"서울특별시 종로구 대학로 146 (혜화동, 두레빌딩)",37.58424882,127.002077
"서울특별시 종로구 필운대로 97, 국립서울맹학교 초등교육관동 지하1층 (신교동)",37.58478893,126.9675451
"서울특별시 종로구 성균관로 31 (명륜3가, 유림회관)",37.5857978,126.995739
"서울특별시 종로구 율곡로 214 (연건동, 정림빌딩)",37.57582685,127.0026445
"서울특별시 종로구 통일로12길 23 (무악동, 독립문초등학교)",37.57418825,126.9602467
"서울특별시 종로구 세종대로 지하172, 5호선 광화문역 (세종로)",37.57243249,126.9769019
"서울특별시 종로구 대학로 지하 120 (명륜4가, 4호선 혜화역)",37.58213258,127.0018147
"서울특별시 종로구 종로 311 (창신동, (주)우리은행창신동지점)",37.57230905,127.012246
"서울특별시 종로구 창신길 20 (창신동, 동대문맨션)",37.57240074,127.0110199
"서울특별시 종로구 율곡로 지하62, 3호선 안국역 (안국동)",37.57695171,126.9845218
"서울특별시 종로구 세종대로 지하172, 5호선 광화문역 지하1~3층 (세종로)",37.57243249,126.9769019
"서울특별시 종로구 삼봉로 81 (수송동, 두산위브파빌리온)",37.57256396,126.9818232
"서울특별시 종로구 계동길 84-10, 대동세무고등학교 (계동)",37.5819238,126.9878896
"서울특별시 종로구 필운대로 103, 국립서울농학교 청각언어훈련센터동 지하1층 (신교동)",37.58503722,126.9685803
"서울특별시 종로구 대학로 65 (연건동, KT혜화지사)",37.57715122,127.0014271
"서울특별시 종로구 사직로 130, 적선현대빌딩 지하1층 (적선동)",37.57539445,126.9732552
"서울특별시 종로구 새문안로3길 15, 동원빌딩 지하1층 (당주동)",37.57174653,126.9723186
"서울특별시 종로구 자하문로 89, 종로구 장애인복지관 및 푸르메재활센터(신교공영주차장) (신교동)",37.5840902,126.9698187
"서울특별시 종로구 종로 6 (서린동, 광화문우체국)",37.56979035,126.9780949
"서울특별시 종로구 평창문화로 151, 지하주차장 (평창동)",37.61055278,126.9759597
"서울특별시 종로구 평창문화로 87, 창진파크팰리스 지하1층 (평창동)",37.60730356,126.9707666
"서울특별시 종로구 낙산길 250 (창신동, 서울명신초등학교)",37.5815884,127.0142052
"서울특별시 종로구 수표로 96 (관수동, 국일관 드림팰리스)",37.56974373,126.9899783
"서울특별시 종로구 종로1길 36 (수송동, 대림빌딩)",37.57349247,126.9791402
"서울특별시 종로구 종로 14 (서린동, 한국무역보험공사빌딩)",37.56978557,126.9788609
"서울특별시 종로구 율곡로2길 25 (수송동, 연합뉴스빌딩)",37.57439292,126.9804909
"서울특별시 종로구 청계천로 391, 지하1층 (숭인동, 숭인상가아파트)",37.5721312,127.0205679
"서울특별시 종로구 종로 386, 진형빌딩 지하1층 (숭인동)",37.57404184,127.020349
"서울특별시 종로구 지봉로 29 (창신동, 금호팔레스빌딩)",37.57253625,127.0153041
"서울특별시 종로구 지봉로5길 7 (창신동, 두산아파트)",37.57421763,127.0142874
서울특별시 종로구 세종대로 175(세종로),37.57223601,126.9759336
"서울특별시 종로구 종로 지하 216 (종로5가, 1호선 종로5가역)",37.57103144,127.0019511
"서울특별시 종로구 율곡로 190 (연지동, 여전도회관)",37.57541867,126.9994978
"서울특별시 종로구 종로33길 15 (연지동, 두산아트센터)",37.57189853,127.0012219
"서울특별시 종로구 율곡로 194 (연지동, 현대그룹빌딩)",37.57503173,127.0005248
"서울특별시 종로구 종로 지하 200 (종로5가, 종오지하쇼핑센터)",37.57103144,127.0019511
"서울특별시 종로구 종로44길 43 (창신동, 동신교회,동신교회교육관)",37.57092555,127.012915
"서울특별시 종로구 인사동5길 29 (인사동, 태화빌딩)",37.57200744,126.9848564
"서울특별시 종로구 통일로 246-20, 110동 지하1층 (무악동, 무악현대아파트)",37.57538157,126.9608044
"서울특별시 종로구 통일로 246-11, 113동 지하2층 (무악동, 무악현대아파트)",37.57541206,126.9588495
"서울특별시 종로구 통일로 지하126, 서대문역 2층 (평동)",37.56617087,126.9668866
"서울특별시 종로구 새문안로 29, 강북삼성병원 지하2층 (평동)",37.56826885,126.9680977
"서울특별시 종로구 창신5길 22 (창신동, 창신성결교회)",37.57369925,127.0121379
"서울특별시 종로구 새문안로5길 37, 도렴빌딩 지하1~2층 (도렴동)",37.57360494,126.9741932
"서울특별시 종로구 세종대로23길 47, 지하1층 (당주동)",37.57136594,126.9737044
"서울특별시 종로구 새문안로5길 19, 로얄빌딩 지하1층 (당주동)",37.57198836,126.974328
"서울특별시 종로구 세종대로23길 54, 세종빌딩, 세종아파트 지하1층 (당주동)",37.57186418,126.9733152
"서울특별시 종로구 새문안로 50, 한국씨티은행 본점 지하1층 (신문로2가)",37.56888939,126.9707538
"서울특별시 종로구 통일로 230 (무악동, 경희궁롯데캐슬)",37.57381674,126.9593285
"서울특별시 종로구 평창문화로 172 (평창동, 삼성아파트)",37.61092763,126.978673
서울특별시 종로구 종로 191-3 (종로4가),37.57085672,126.9990387
"서울특별시 종로구 세종대로 지하189, 세종로지하주차장 지하1~5층 (세종로)",37.57337324,126.9759146
"서울특별시 종로구 통일로18길 34, 201동 지하1층 (무악동, 인왕산2차아이파크아파트)",37.5757371,126.9596088
"서울특별시 종로구 창덕궁1길 13, 원서빌딩 (원서동)",37.5790497,126.9885406
"서울특별시 종로구 창경궁로 112-16 (인의동, 서울혜화경찰서)",37.57204551,126.9988516
"서울특별시 종로구 창경궁로 112-7 (인의동, 인의빌딩)",37.57257393,126.9980831
"서울특별시 종로구 대학로 86, 한국방송통신대학 지하1-3층 (동숭동)",37.57882083,127.0029301
"서울특별시 종로구 종로5길 86 (수송동, 국세청)",37.57406875,126.9798713
"서울특별시 종로구 율곡로 88 (운니동, 삼환빌딩)",37.5768582,126.9889296
"서울특별시 종로구 종로 1 (종로1가, 교보생명빌딩)",37.57058242,126.9780798
"서울특별시 종로구 종로1길 42 (수송동, 이마빌딩)",37.57390938,126.979018
"서울특별시 종로구 종로 지하 73 (종로1가, 종각지하철역사)",37.57025675,126.9851436
"서울특별시 종로구 종로5길 58 (수송동, 석탄회관빌딩)",37.57292971,126.9804668
"서울특별시 종로구 돈화문로5가길 1 (돈의동, 피카디리플러스)",37.5710363,126.9912289
"서울특별시 종로구 종로 지하 129 (종로3가, 1호선 종로3가역)",37.57044775,126.9908959
"서울특별시 종로구 종로 47 (공평동, SC제일은행본점)",37.57111501,126.9823968
"서울특별시 종로구 삼청로 1 (세종로, 동십자각)",37.57606115,126.9778936
"서울특별시 종로구 율곡로2길 19, 수송스퀘어 (수송동)",37.57416662,126.9813149
"서울특별시 종로구 종로 지하 55 (종로1가, 종각지하철역사)",37.57023256,126.9814158
"서울특별시 종로구 종로5길 68 (수송동, 코리안리재보험빌딩)",37.57342484,126.9804488
"서울특별시 종로구 사직로8길 39, 세양빌딩 지하1층 (내자동)",37.5743726,126.9730291
"서울특별시 종로구 새문안로5가길 28, 광화문 플래티넘 지하1~2층 (적선동)",37.57442952,126.9735648
"서울특별시 종로구 종로 157, 종묘공원 (훈정동)",37.57465891,126.9940981
"서울특별시 종로구 세종대로 163, 현대해상빌딩 지하1~2층 (세종로)",37.57095812,126.9762825
"서울특별시 종로구 난계로 247, 서진빌딩 지하1층 (숭인동)",37.57368621,127.0230048
서울특별시 종로구 김상옥로 29 (연지동),37.57370702,127.0007715
"서울특별시 종로구 종로33길 31 (연지동, 삼양사)",37.57246685,127.0011235
"서울특별시 종로구 세종대로 지하172, 5호선 광화문역 (세종로)",37.57243249,126.9769019
"서울특별시 종로구 율곡로 지하308, 4호선 동대문역 (종로6가)",37.57062754,127.0094407
서울특별시 종로구 종로 33 (청진동),37.57110998,126.9813896
"서울특별시 종로구 지봉로 지하 112 (창신동, 6호선 창신역)",37.57944966,127.0151898
"서울특별시 종로구 통일로8길 16 (송월동, 서대문장로교회)",37.56933912,126.9655447
"서울특별시 종로구 창경궁로 296-12 (혜화동, 가톨릭대학교성신교정)",37.58603386,127.0042567
"서울특별시 종로구 혜화로6가길 34 (혜화동, 혜성유치원)",37.59031154,127.0012581
"서울특별시 종로구 혜화로3길 6 (명륜1가, 명륜교회)",37.58643805,126.9997164
"서울특별시 종로구 창경궁로 260 (명륜2가, 명륜프라자)",37.58441114,127.0005441
"서울특별시 종로구 지봉로5길 7-5 (창신동, 종로구구민회관, 보건소통합청)",37.57351225,127.0144844
"서울특별시 종로구 대학로 71, 서울대학교병원 의학연구혁신센터 (연건동)",37.57774935,127.0007811
"서울특별시 종로구 지봉로 19 (창신동, 삼우텍스프라자)",37.57175825,127.0152079
"서울특별시 종로구 성균관로 25-2 (명륜3가, 성균관대학교)",37.58839279,126.9922149
"서울특별시 종로구 통일로16길 8-3, 109동 지하1층 (무악동, 인왕산아이파크)",37.57700123,126.9574453
"서울특별시 종로구 청계천로 1 (서린동, 동아일보사)",37.56953821,126.9780699
서울특별시 종로구 창경궁로 230 (명륜4가),37.58221592,126.9982202
"서울특별시 종로구 종로 지하 302 (창신동, 1호선 동대문역)",37.57176702,127.0112572
"서울특별시 종로구 사직로 지하130, 3호선 경복궁역 지하1~3층 (적선동)",37.57576031,126.9732063
"서울특별시 종로구 세종대로 지하172, 5호선 광화문역 지하1~3층 (세종로)",37.57243249,126.9769019
"서울특별시 종로구 인왕산로1길 21, 종로문화체육센터 지하1~2층 (사직동)",37.5742762,126.9646706
"서울특별시 종로구 율곡로 지하 308 (종로6가, 4호선동대문역)",37.57062754,127.0094407
"서울특별시 종로구 지봉로 지하24, 6호선 동묘앞역 (숭인동)",37.57162784,127.0158126
"서울특별시 중구 창경궁로 17 (예관동, 중구청)",37.5637358,126.9977574
"서울특별시 중구 퇴계로 지하214, 충무로역 3,4호선 (필동2가)",37.56120984,126.9943296
"서울특별시 중구 서소문로 지하 127 (서소문동, 시청역 2호선)",37.5635696,126.9755274
"서울특별시 중구 소공로 지하 102 (남대문로2가, 소공지하쇼핑센터)",37.56406701,126.982159
"서울특별시 중구 남대문로 지하14, 남대문로지하쇼핑센터 (남대문로3가)",37.56116309,126.9789338
"서울특별시 중구 다산로 지하 260 (흥인동, 신당역 6호선)",37.56724614,127.0162245
"서울특별시 중구 다산로42가길 43 (신당동, 삼성홈타운신당아파트)",37.56273866,127.0168716
"서울특별시 중구 소공로 119 (태평로2가, 서울프라자호텔)",37.56467032,126.9779132
"서울특별시 중구 남대문로 81 (소공동, 롯데백화점 본점)",37.5648098,126.9810895
"서울특별시 중구 세종대로 124 (태평로1가, 프레스센터)",37.5675287,126.9777433
"서울특별시 중구 동호로 지하 384 (방산동, 청계5가지하쇼핑센터)",37.56907456,127.0021017
"서울특별시 중구 다산로 32 (신당동, 남산타운)",37.54901359,127.0092804
"서울특별시 중구 만리재로 193 (만리동1가, 서울역 디오빌)",37.55501686,126.9672216
"서울특별시 중구 다산로 지하 115 (신당동, 약수역 6호선)",37.55476349,127.0104958
"서울특별시 중구 을지로 지하 88 (을지로2가, 을지로2구역지하쇼핑)",37.56612092,126.9880106
"서울특별시 중구 충무로 13 (충무로3가, 엘크루메트로시티)",37.56236342,126.9926351
"서울특별시 중구 세종대로9길 42, 부영빌딩 (서소문동)",37.56157072,126.9737897
"서울특별시 중구 장충단로 60 (장충동2가, 반얀트리 클럽 앤 스파 서울)",37.55026344,127.0005364
"서울특별시 중구 청구로 지하 77 (신당동, 청구역 5,6호선)",37.56034779,127.0138711
"서울특별시 중구 마장로 40 (신당동, apM)",37.56784946,127.0142933
"서울특별시 중구 퇴계로 지하214, 충무로역 3,4호선 (필동2가)",37.56120984,126.9943296
"서울특별시 중구 퇴계로 460, 중구종합복지센터 (신당동)",37.56509186,127.0227984
"서울특별시 중구 칠패로 36 (봉래동1가, 연세봉래빌딩)",37.5594897,126.9732406
"서울특별시 중구 소월로 10 (남대문로5가, 단암빌딩)",37.55852086,126.9754516
"서울특별시 중구 을지로39길 40 (을지로6가, 구민회관)",37.56856289,127.0060086
"서울특별시 중구 을지로 지하 178 (을지로4가, 을지로4가역 2호선)",37.56652913,126.9965429
"서울특별시 중구 세종대로 지하2, 서울역 1호선 (남대문로5가)",37.55690197,126.9725596
"서울특별시 중구 소월로 3 (남창동, 롯데손해보험빌딩)",37.559422,126.9762396
"서울특별시 중구 퇴계로 지하 54 (남창동, 회현역 4호선)",37.55885694,126.977648
