lon,lat,areaCode,areaName
128.56473,38.25085,L1020510,속초시평지
127.75443,37.94738,L1021600,춘천시
127.3042,38.14787,L1021300,철원군
131.86983,37.23952,L1072100,울릉도독도
127.0607,37.90188,L1011100,동두천시
126.76648,37.88589,L1011800,파주시
128.71834,37.67713,L1026020,평창군산간
127.7357,37.90262,L1021600,춘천시
124.71237,37.97396,L1014100,서해5도
128.85535,37.80456,L1020110,강릉시평지
128.89099,37.75147,L1020110,강릉시평지
129.12433,37.50709,L1020210,동해시평지
126.9658,37.57142,L1100400,서울서북권
126.6249,37.47772,L1010800,인천광역시
127.94659,37.33749,L1021200,원주시
130.89863,37.48129,L1072100,울릉도독도
126.96402,37.44526,L1010300,과천시
126.983,37.25746,L1011900,수원시
128.45743,37.18126,L1020800,영월군
127.9525,36.97045,L1040800,충주시
126.4939,36.77658,L1031300,서산시
129.41278,36.99176,L1072310,울진군평지
127.44066,36.63924,L1040100,청주시
127.37211,36.37198,L1030100,대전광역시
127.99458,36.22025,L1040700,영동군
128.70733,36.57293,L1071500,안동시
128.15741,36.40837,L1071200,상주시
129.38002,36.03201,L1072400,포항시
126.76135,36.0053,L1060300,군산시
128.65296,35.87797,L1070100,대구광역시
127.11718,35.84092,L1061300,전주시
129.33469,35.58237,L1080300,울산광역시
128.57282,35.17019,L1080600,창원시
126.89156,35.17294,L1050100,광주광역시
129.03203,35.10468,L1080100,부산광역시
128.99995,35.11882,L1080100,부산광역시
128.43561,34.84541,L1082000,통영시
126.38151,34.81732,L1052100,목포시
127.74063,34.73929,L1051000,여수시
125.45105,34.68719,L1052500,흑산도홍도
126.70182,34.3959,L1051600,완도군
126.599,35.34824,L1060100,고창군
127.3694,35.0204,L1051200,순천시
126.3238,34.47211,L1052300,진도군
126.68772,36.65759,L1031600,홍성군
126.52969,33.51411,L1090700,제주도북부
126.16283,33.29382,L1090600,제주도서부
126.8802,33.38677,L1090800,제주도동부
126.5653,33.24616,L1090900,제주도남부
128.04004,35.16378,L1081400,진주시
126.44634,37.70739,L1010900,강화군
127.49446,37.48863,L1013500,양평군
127.48421,37.26399,L1013000,이천시
128.16714,38.05986,L1021810,인제군평지
127.88043,37.6836,L1021510,홍천군평지
128.98929,37.17038,L1020300,태백시
128.6459,37.38149,L1021010,정선군평지
128.19433,37.15928,L1040900,제천시
127.73415,36.48761,L1040300,보은군
25.55954,36.62544,L1031100,태안군
127.29282,36.76217,L1030200,천안시
126.55744,36.32724,L1031400,보령시
126.92079,36.27242,L1030800,부여군
127.48175,36.10563,L1030600,금산군
127.24438,36.48522,L1031800,세종시
126.71657,35.72961,L1060200,부안군
127.28556,35.61203,L1060900,임실군
126.83904,35.56337,L1061200,정읍시
127.39652,35.4213,L1061400,남원시
127.52031,35.65696,L1060800,장수군
126.697,35.42661,L1060100,고창군
126.47784,35.28366,L1052000,영광군
128.89075,35.22981,L1080900,김해시
127.1286,35.37131,L1061000,순창군
128.6726,35.22655,L1080600,창원시
129.02009,35.30737,L1080500,양산시
127.21226,34.76335,L1050900,보성군
126.76715,34.6289,L1051400,강진군
126.91951,34.68886,L1051300,장흥군
126.56907,34.55375,L1051500,해남군
127.27572,34.61826,L1050800,고흥군
128.28812,35.32258,L1081100,의령군
127.74538,35.51138,L1081700,함양군
127.6914,34.9434,L1051100,광양시
126.25846,34.47296,L1052300,진도군
128.91449,36.94361,L1072010,봉화군평지
128.51687,36.87183,L1071600,영주시
128.14879,36.62727,L1071300,문경시
129.04005,36.4351,L1071800,청송군
129.40926,36.53337,L1072200,영덕군
128.68864,36.3561,L1071700,의성군
128.32055,36.13055,L1070300,구미시
128.9514,35.97742,L1070400,영천시
129.2009,35.8174,L1072500,경주시
127.9099,35.66739,L1081800,거창군
128.16994,35.56505,L1081900,합천군
128.74412,35.49147,L1081000,밀양시
127.8791,35.413,L1081600,산청군
128.60459,34.88818,L1082200,거제시
127.92641,34.81662,L1082400,남해군
126.31507,35.85799,L1060300,군산시
126.1199,35.08704,L1052200,신안군(흑산면제외)
126.15928,34.66473,L1052200,신안군(흑산면제외)
125.09722,34.0725,L1052500,흑산도홍도
126.84849,34.31801,L1051600,완도군
126.9201,33.98622,L1051600,완도군
127.8011,34.43185,L1051000,여수시
126.07303,34.68703,L1052200,신안군(흑산면제외)
129.26472,37.32471,L1020410,삼척시평지
128.08673,35.78915,L1081900,합천군
129.14128,36.39314,L1071800,청송군
128.7514,34.89334,L1082200,거제시
127.74312,35.86621,L1060700,무주군
127.51079,35.30673,L1050500,구례군
126.99743,35.11438,L1050100,광주광역시
127.11418,35.72951,L1060500,완주군
128.67045,37.64336,L1026020,평창군산간
130.87084,37.53726,L1072100,울릉도독도
128.31375,38.33104,L1025020,인제군산간
128.1963,38.1147,L1025020,인제군산간
127.6698,38.2155,L1021400,화천군
127.553,38.2747,L1021300,철원군
128.07446,36.91019,L1040900,제천시
128.02526,37.14449,L1040900,제천시
127.61126,37.54553,L1013500,양평군
127.512,36.65026,L1040100,청주시
126.406,33.2494,L1090900,제주도남부
126.56521,33.44711,L1090700,제주도북부
126.64947,33.50081,L1090700,제주도북부
126.9789,37.8953,L1011600,양주시
126.9436,37.7156,L1011600,양주시
127.0683,37.8414,L1011600,양주시
127.0364,37.1136,L1012500,평택시
127.0183,37.0481,L1012500,평택시
126.9214,36.9672,L1012500,평택시
127.1592,37.8542,L1011300,포천시
127.2283,37.7861,L1011300,포천시
127.2447,38.0053,L1011300,포천시
127.1189,37.3828,L1012000,성남시
126.8953,37.4089,L1012100,안양시
126.9753,37.355,L1012700,의왕시
126.7844,37.4061,L1010500,시흥시
127.1503,37.5992,L1012200,구리시
126.9169,37.3642,L1012600,군포시
127.25,37.1789,L1012900,용인시
127.1164,37.2772,L1012900,용인시
127.0267,37.8722,L1011600,양주시
127.0458,37.7706,L1011600,양주시
126.9706,37.0467,L1012500,평택시
126.9875,37.7919,L1011600,양주시
127.08162,37.4982,L1100100,서울동남권
127.02601,37.48462,L1100100,서울동남권
127.14498,37.55552,L1100100,서울동남권
127.0967,37.51151,L1100100,서울동남권
126.82953,37.5739,L1100300,서울서남권
126.8782,37.52961,L1100300,서울서남권
127.02947,37.66612,L1100200,서울동북권
127.09192,37.62186,L1100200,서울동북권
127.06036,37.58463,L1100200,서울동북권
127.08682,37.58551,L1100200,서울동북권
